,Nome do recinto,Morada,Tipo de recinto,Lotação total,RegionId
1,CINE TEATRO VALADARES,CAMINHA,Teatro,142,1
2,GRANDE SALA CENTRO CULT POLIVALENTE PAREDES COURA,AV CÓNEGO BERNARDO CHOUZAL,Outras salas de espetáculos,500,1
3,AUDITÓRIO DO CENTRO CULT POLIVALENTE PAREDES COURA,AV CÓNEGO BERNARDO CHOUZAL,Auditório,149,1
4,TEATRO DIOGO BERNARDES,RUA AGOSTINHO JOSÉ TAVEIRA,Cine-Teatro,305,1
5,TEATRO MUNICIPAL SÁ DE MIRANDA,R MAJOR XAVIER DA COSTA,Teatro,382,1
6,CAFÉ CONCERTO DO TEATRO MUNICIPAL SÁ DE MIRANDA,RUA MAJOR XAVIER DA COSTA,Café concerto,200,1
7,CINEMA VERDE VIANA,PRAÇA 1º DE MAIO,Auditório,141,1
8,CENTRO CULTURAL DE VIANA DO CASTELO,VIANA DO CASTELO,Recinto multiusos,2896,1
9,CINEPLACE ESTAÇÃO VIANA SHOPPING - SALA 1,CENTRO COMERCIAL ESTAÇÃO VIANA,Cinema,122,1
10,CINEPLACE ESTAÇÃO VIANA SHOPPING - SALA 2,CENTRO COMERCIAL ESTAÇÃO VIANA,Cinema,146,1
11,CINEPLACE ESTAÇÃO VIANA SHOPPING - SALA 3,CENTRO COMERCIAL ESTAÇÃO VIANA,Cinema,189,1
12,CINEPLACE ESTAÇÃO VIANA SHOPPING - SALA 4,CENTRO COMERCIAL ESTAÇÃO VIANA,Cinema,229,1
13,TEATRO GIL VICENTE,LARGO DR. MARTINS LIMA,Cine-Teatro,196,2
14,SALA DE ESPECTÁCULOS DO CENTRO CÍVICO DOS FEITOS,LUG DO MONTE - FEITOS,Outras salas de espetáculos,130,2
15,THEATRO CIRCO DE BRAGA-SALA PRINCIPAL,AV DA LIBERDADE 785,Auditório,897,2
16,TEATRO CIRCO DE BRAGA-PEQUENO AUDITÓRIO,AV DA LIBERDADE 785,Auditório,240,2
17,CINEMAS NOS BRAGA PARQUE - SALA 1,CENTRO COMERCIAL BRAGA PARQUE-QTA DOS CONGREGADOS,Cinema,112,2
18,CINEMAS NOS BRAGA PARQUE - SALA 2,CENTRO COMERCIAL BRAGA PARQUE-QTA DOS CONGREGADOS,Cinema,189,2
19,CINEMAS NOS BRAGA PARQUE - SALA 3,CENTRO COMERCIAL BRAGA PARQUE-QTA DOS CONGREGADOS,Cinema,376,2
