,NUTS III,NUTS II,NUTS I
1,ALTO MINHO,NORTE,PORTUGAL CONTINENTAL
2,CÁVADO,NORTE,PORTUGAL CONTINENTAL
3,AVE,NORTE,PORTUGAL CONTINENTAL
4,ÁREA METROPOLITANA DO PORTO,NORTE,PORTUGAL CONTINENTAL
5,ALTO TÂMEGA,NORTE,PORTUGAL CONTINENTAL
6,TÃMEGA E SOUSA,NORTE,PORTUGAL CONTINENTAL
7,DOURO,NORTE,PORTUGAL CONTINENTAL
8,TERRAS DE TRÁS-OS-MONTES,NORTE,PORTUGAL CONTINENTAL
9,ALGARVE,ALGARVE,PORTUGAL CONTINENTAL
10,OESTE,CENTRO,PORTUGAL CONTINENTAL
11,REGIÃO DE AVEIRO,CENTRO,PORTUGAL CONTINENTAL
12,REGIÃO DE COIMBRA,CENTRO,PORTUGAL CONTINENTAL
13, REGIÃO DE LEIRIA,CENTRO,PORTUGAL CONTINENTAL
14,VISEU DÃO-LAFÕES,CENTRO,PORTUGAL CONTINENTAL
15,BEIRA BAIXA,CENTRO,PORTUGAL CONTINENTAL
16,MÉDIO TEJO,CENTRO,PORTUGAL CONTINENTAL
17,BEIRAS E SERRA DA ESTRELA,CENTRO,PORTUGAL CONTINENTAL
18,ÁREA METROPOLITANA DE LISBOA,ÁREA METROPOLITANA DE LISBOA,PORTUGAL CONTINENTAL
19,ALENTEJO LITORAL,ALENTEJO,PORTUGAL CONTINENTAL
20,BAIXO ALENTEJO,ALENTEJO,PORTUGAL CONTINENTAL
21,LEZÍRIA DO TEJO,ALENTEJO,PORTUGAL CONTINENTAL
22,ALTO ALENTEJO,ALENTEJO,PORTUGAL CONTINENTAL
23,ALENTEJO CENTRAL,ALENTEJO,PORTUGAL CONTINENTAL
24,REG AUTÓNOMA DOS AÇORES,REG AUTÓNOMA DOS AÇORES,REG AUTÓNOMA DOS AÇORES
25,REG AUTÓNOMA DA MADEIRA,REG AUTÓNOMA DA MADEIRA,REG AUTÓNOMA DA MADEIRA
