,Nome,Morada,Cod postal,RegionId
1,100 VERGONHA LDA,AV DA MARINHA PORTUGUESA 12,2605-41 BELAS,25
2,"14 MARES SNACK BAR E ESPECTÁCULO, LDA",R ANGOLA 28 A,2670-351 LOURES,25
3,"3 OLOGIA EXPERIENCE, LDA",RUA MARCOS PORTUGAL N22 A,1200-258 LISBOA,25
4,3 STYLE ESPECTÁCULOS LDA,R PADRE JOSÉ MONTEIRO DA ROCHA  286/289,4440-819 VALONGO,5
5,3B LDA,R D JOÃO DE CASTRO 36,2330-138 ENTRONCAMENTO,22
6,3D WORLD LDA,LG PÉ DO MOURO POLÍGNO EMPRESARIAL DO PÉ DO MOURO ARMAZÉM 7  LUGAR DA CAPA ROTA,2710-335 SINTRA,25
7,"3LOVE, LDA","RUA DOS CIPRESTES, 48 - ALTO DOS GAIOS",2765-623 ESTORIL,25
8,4 NATAS - NÚCLEO DE ACTIVIDADES TREMENDAMENTE ARTÍSTICAS UNIP LDA,R HELIODORO SALGADO  75  1ºESQ,1170-175 LISBOA,25
9,93 WINEBAR & LOUNGE UNIPESSOAL LDA,R DO RAIMUNDO 93,7000-665 ÉVORA,33
10,"9OR93, LDA",R DA GUINÉ 33,2685-335 PRIOR VELHO,25
11,A BELA E O MONSTRO EDIÇÕES LDA,R DO LIMOEIRO  7  2º,1100-308 LISBOA,25
12,"A BRUXA TEATRO, ASSOCIAÇÃO","AV. CARTAXO JÚ7NIOR, 24",7000-465 ÉVORA,33
13,A CAPOEIRA COMPANHIA DE TEATRO DE BARCELOS,R D ANTÓNIO BARROSO  117-118  3º FT,4750-258 BARCELOS,2
14,A CHAVE DO SOM MANAGEMENT E PRODUÇÃO DE ESPECTÁCULOS LDA,R DO MAR  71,4410-332 ARCOZELO VNG,5
15,A CIRCULAR - ASSOCIAÇÃO CULTURAL,"PRAÇA LUÍS DE CAMÕES, Nº 9, 1º",4480-719 VILA DO CONDE,5
16,A COMISSÃO 64 - ASSOCIAÇÃO CULTURAL,R VOZ DO OPERÁRIO 64 1º ANDAR,1100-621 LISBOA,25
17,A COUTADA - SOCIEDADE DE EMPREENDIMENTOS TURÍSTICOS LDA,R. DR FRANCISCO SÁ CARNEIRO 28,2520-429 PENICHE,12
18,A DAMA DAS ROSAS UNIPESSOAL LDA,TORRE DA MOSQUEIRA  SNACK-BAR O GRILO,8200-562 FERREIRAS,34
19,A E U L P - ASSOCIAÇÃO DE ESTUDANTES DA UNIVERSIDADE LUSÓFONA DO PORTO,R AUGUSTO ROSA  24,4000-98 PORTO,5
20,A ESCOLA DA NOITE - GRUPO DE TEATRO DE COIMBRA,TEATRO DA CERCA DE SÃO BERNARDO,3000-97 COIMBRA,16
21,A FERMENTAÇÃO RESTAURAÇÃO E EVENTOS CULTURAIS LDA,LG DE SÃO RAFAEL  1 L,1100-505 LISBOA,25
22,A FORÇA DAS IDEIAS PRODUÇÃO MULTIMÉDIA UNIPESSOAL LDA,R CARLOS RELVAS  36,2150-136 GOLEGÃ,31
23,A G A ASSOCIÇÃO DE GUITARRA DO ALGARVE,APT  5063  -  SÍTIO DO COLMEAL,8005-444 FARO,34
24,A J CABRITA HOTELARIA LDA,AV 25 DE ABRIL  35,8200-15 ALBUFEIRA,34
25,A LÓGICA DOS SONS LDA,AV DO MARQUÊS SÁ DA BANDEIRA  4A,2000-24 SANTARÉM,31
26,À MARGEM - ACTIVIDADES HOTELEIRAS LDA,LG CARLOS BOTELHO 11,2795-45 LINDA A VELHA,25
27,A N J E ASSOCIAÇÃO NACIONAL DE JOVENS EMPRESÁRIOS,R PAULO DA GAMA - CASA DO FAROL,4169-6 PORTO,5
