RegionId,Distrito,NUTS III
1,VIANA DO CASTELO,ALTO MINHO
2,BRAGA,CÁVADO
3,BRAGA,AVE
4,AVEIRO,ÁREA METROPOLITANA DO PORTO
5,PORTO,ÁREA METROPOLITANA DO PORTO
6,VILA REAL,ALTO TÂMEGA
7,PORTO,TÂMEGA E SOUSA
8,BRAGANÇA,DOURO
9,VILA REAL,DOURO
10,VISEU,DOURO
11,BRAGANÇA,TERRAS DE TRÁS-OS-MONTES
12,LEIRIA,OESTE
13,LISBOA,OESTE
14,AVEIRO,REGIÃO DE AVEIRO
15,AVEIRO,REGIÃO DE COIMBRA
16,COIMBRA,REGIÃO DE COIMBRA
17,LEIRIA,REGIÃO DE LEIRIA
18,GUARDA,VISEU DÃO LAFÕES
19,VISEU,VISEU DÃO LAFÕES
20,CASTELO BRANCO,BEIRA BAIXA
21,CASTELO BRANCO,MÉDIO TEJO
22,SANTARÉM,MÉDIO TEJO
23,CASTELO BRANCO,BEIRAS E SERRA DA ESTRELA
24,GUARDA,BEIRAS E SERRA DA ESTRELA
25,LISBOA,ÁREA METROPOLITANA DE LISBOA
26,SETÚBAL,ÁREA METROPOLITANA DE LISBOA
27,BEJA,ALENTEJO LITORAL
28,SETÚBAL,ALENTEJO LITORAL
29,BEJA,BAIXO ALENTEJO
30,LISBOA,LEZÍRIA DO TEJO
31,SANTARÉM,LEZÍRIA DO TEJO
32,PORTALEGRE,ALTO ALENTEJO
33,ÉVORA,ALENTEJO CENTRAL
34,FARO,ALGARVE
35,ILHA DA MADEIRA,REG AUTÓNOMA MADEIRA
36,ILHA TERCEIRA,REG AUTÓNOMA AÇORES
37,ILHA DE SÃO MIGUEL,REG AUTÓNOMA AÇORES
38,VISEU,TÂMEGA E SOUSA
39,ILHA DO FAIAL,REG AUTÓNOMA AÇORES
40,AVEIRO,TÂMEGA E SOUSA
41,BRAGA,TÂMEGA E SOUSA
42,GUARDA,DOURO
43,VILA REAL,AVE
44,VISEU,REGIÃO DE COIMBRA
